state,county,less_than_high_school_diploma_2015-19,high_school_diploma_only_2015-19,some_college_or_associate_ degree_2015-19,bachelor_degree_or_higher_2015-19
GA,Glynn County,7039,15796,18645,17652
GA,Gordon County,8437,13317,10807,5598
GA,Grady County,3364,6634,4576,2359
GA,Greene County,1893,4291,3225,3454
GA,Gwinnett County,71956,130107,165647,215339
GA,Habersham County,6173,10507,7747,5857
GA,Hall County,27103,35963,34866,31756
GA,Hancock County,1703,2841,1479,567
GA,Haralson County,3736,7186,6055,2938
GA,Harris County,1870,5669,8870,7503
GA,Hart County,3452,6887,5378,2924
GA,Heard County,1646,3651,2091,705
GA,Henry County,12763,46090,45282,41430
GA,Houston County,8489,27171,36365,28448
GA,Irwin County,1157,2507,1631,943
GA,Jackson County,7310,14741,13398,10408
GA,Jasper County,1662,3676,2936,1370
GA,Jeff Davis County,2020,3764,2949,1002
GA,Jefferson County,2511,4448,2634,1052
GA,Jenkins County,1212,2618,1556,461
GA,Johnson County,1732,3202,1398,637
GA,Jones County,2140,7706,5951,3846
GA,Lamar County,1573,4789,3860,1922
GA,Lanier County,1372,2593,1757,1128
GA,Laurens County,4476,13687,8424,5152
GA,Lee County,1768,5757,6903,4908
GA,Liberty County,3302,11201,14511,6488
GA,Lincoln County,1029,2287,1534,914
GA,Long County,1446,4069,4156,2043
GA,Lowndes County,9101,21391,20377,17240
GA,Lumpkin County,3113,6197,5717,5390
GA,McDuffie County,2346,5878,3913,1979
GA,McIntosh County,1640,4133,3336,1948
GA,Macon County,2516,3313,2863,835
GA,Madison County,3394,8012,5007,3734
GA,Marion County,1342,2148,1750,812
GA,Meriwether County,3005,5892,4377,1541
GA,Miller County,715,1500,1319,575
GA,Mitchell County,3473,6023,4263,1480
GA,Monroe County,2729,6344,4878,5109
GA,Montgomery County,1102,2298,1669,966
GA,Morgan County,1582,4620,3965,2653
GA,Murray County,7748,9912,6148,2665
GA,Muscogee County,15197,34791,44402,32751
GA,Newton County,9260,23398,22915,13695
GA,Oconee County,1364,4820,5708,13063
GA,Oglethorpe County,2125,4077,2496,1790
GA,Paulding County,10991,34001,34988,23413
GA,Peach County,3006,5270,5763,3631
GA,Pickens County,3351,7192,7013,5288
GA,Pierce County,2153,5543,3638,1628
GA,Pike County,1477,5214,3656,2131
GA,Polk County,5838,10416,7472,3773
GA,Pulaski County,1581,3070,2600,1098
GA,Putnam County,1947,5897,4177,3666
GA,Quitman County,620,622,389,124
GA,Rabun County,1933,4199,3494,3069
GA,Randolph County,1194,1676,1334,482
GA,Richmond County,20935,41418,41393,28268
GA,Rockdale County,6640,18584,18274,15542
GA,Schley County,421,1182,1337,452
GA,Screven County,1608,4035,2582,1497
GA,Seminole County,841,2294,1890,971
GA,Spalding County,8078,17735,10799,7917
GA,Stephens County,3125,6727,3911,3664
GA,Stewart County,1560,1781,954,595
GA,Sumter County,3533,6598,5430,3474
GA,Talbot County,831,2141,1159,570
GA,Taliaferro County,358,570,207,100
GA,Tattnall County,4322,6817,4387,2354
GA,Taylor County,1217,2124,1603,715
GA,Telfair County,3580,5695,1741,1043
GA,Terrell County,1350,1939,2033,673
GA,Thomas County,4603,9585,8690,7514
GA,Tift County,4662,8942,7515,4671
GA,Toombs County,3492,6587,4633,2835
